Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2023:Q1,Other,15972741,6047332,5270518,776814,9925409,1391767,153754,473559,473559,0,124084,105926,18158,3504952,241071,252094,1086030,1287356,1247620,163123,2736943,2732172,1967521,660255,44848,59548,4772,13235798,16683976
2023:Q2,White,135203916,40769165,34765803,6003362,94434751,11517879,3215999,4614682,4614682,0,959006,904542,54465,33421428,1630770,1914346,8157622,13620513,14196050,1186455,13352872,13322998,9185836,3251671,273504,611987,29874,121851044,87717343
2023:Q2,Black,6453667,2798795,2233941,564854,3654872,345298,41704,46345,46345,0,35910,35612,298,259112,131221,253739,432134,1630201,342577,136631,1512668,1510267,761460,720461,15401,12945,2400,4940999,15159650
2023:Q2,Hispanic,4456364,2525009,2064915,460094,1931355,312652,25552,32695,32695,0,216,205,11,236822,47004,89152,255426,581233,275063,75539,1163486,1162580,841504,296903,10514,13660,906,3292878,12447442
2023:Q2,Other,16810952,6491881,5695581,796300,10319070,1395353,162185,490897,490897,0,125347,107134,18213,3728976,246155,262172,1139764,1317581,1284321,166320,2781181,2776363,1999890,672668,43394,60410,4818,14029770,16851101
2023:Q3,White,134030271,41135096,35128094,6007001,92895175,11317332,3400694,4674885,4674885,0,900505,845968,54537,32102419,1619979,2080947,7944131,13461985,14195619,1196680,13470375,13439997,9268954,3264477,271858,634708,30377,120559896,87592566
2023:Q3,Black,6479123,2833741,2266242,567499,3645383,344963,42418,46960,46960,0,32064,31764,300,252130,131009,278826,413778,1619801,344533,138900,1533245,1530757,771319,730070,15254,14115,2487,4945879,15220713
2023:Q3,Hispanic,4470557,2552320,2090381,461939,1918237,307089,26335,33007,33007,0,11,0,11,229394,46701,97460,249185,576674,275989,76393,1171166,1170233,850277,294615,10490,14851,932,3299392,12465961
2023:Q3,Other,16728592,6581406,5785064,796341,10147186,1384695,169049,498626,498626,0,120601,102376,18226,3590268,244801,286616,1112097,1287831,1284923,167678,2800576,2795686,2017981,673834,42910,60961,4890,13928016,16834215
2023:Q4,White,137646143,40864167,34845226,6018941,96781975,11399967,3577093,5042788,5042788,0,922264,868222,54043,34931077,1633686,1919678,8585578,13788067,13758616,1223162,13576066,13545184,9336078,3303463,273577,632066,30882,124070076,87585741
2023:Q4,Black,6546146,2815842,2243229,572613,3730305,345087,42743,48993,48993,0,33505,33211,294,269450,131908,255339,476354,1655907,328589,142429,1545099,1542545,772224,740883,15484,13955,2554,5001047,15186248
2023:Q4,Hispanic,4510679,2547875,2083410,464465,1962805,311243,27123,34427,34427,0,11,0,11,247917,47509,90100,271502,592250,262314,78411,1179781,1178821,857503,295937,10595,14786,960,3330898,12524427
2023:Q4,Other,17164184,6538622,5734203,804420,10625562,1393436,176015,546573,546573,0,122740,104538,18202,3902584,247372,263877,1200053,1357014,1244316,171582,2830518,2825542,2037420,683425,43606,61090,4976,14333667,16884096
2024:Q1,White,142427201,42315223,36244024,6071199,100111978,11597181,3628466,4963952,4963952,0,917833,864815,53019,37682342,1661656,1967789,9065446,13840976,13547416,1238920,13595045,13563031,9347063,3272786,276931,666251,32014,128832156,87624361
2024:Q1,Black,6698706,2895632,2314191,581441,3803074,347012,42885,48533,48533,0,33175,32892,283,286418,134157,261822,523658,1660291,320627,144495,1530470,1527760,762692,733569,15960,15539,2710,5168235,15174562
2024:Q1,Hispanic,4672641,2651292,2178146,473147,2021348,320830,27623,34554,34554,0,11,0,11,267520,49178,93371,290247,600474,257336,80206,1182777,1181754,857808,296487,10814,16645,1023,3489864,12657541
2024:Q1,Other,18142002,6983741,6156362,827379,11158261,1427420,180816,544886,544886,0,124288,105969,18319,4262120,255114,275199,1283307,1386757,1241977,176376,2870933,2865716,2068799,688529,45389,62999,5217,15271069,17159841
2024:Q2,White,144523635,43592297,37497700,6094597,100931338,11426853,3691603,5135676,5135676,0,906021,854121,51900,38225003,1668097,1990647,9186981,13851439,13596691,1252326,13667635,13635638,9396266,3282199,273843,683331,31998,130856000,87557201
2024:Q2,Black,6807383,2972095,2385441,586654,3835288,346236,43165,49611,49611,0,32490,32218,272,290543,135038,265699,537176,1665573,322971,146787,1541538,1538823,767669,739264,15512,16378,2714,5265846,15199639
2024:Q2,Hispanic,4801486,2750024,2269540,480483,2051463,318804,28193,35521,35521,0,10,0,10,274016,50021,95578,297685,607834,261816,81984,1198887,1197854,871282,298034,10837,17701,1033,3602599,12793432
2024:Q2,Other,18766734,7377779,6536764,841016,11388955,1434837,185290,573559,573559,0,124629,106298,18331,4370247,258918,281779,1314401,1403963,1261173,180158,2914527,2909252,2102884,697336,44839,64193,5275,15852207,17342683
2024:Q3,White,148622858,43403444,37278945,6124499,105219414,11582443,3862740,5363845,5363845,0,962398,911886,50512,41314746,1676942,2025331,9599699,13895773,13663774,1271725,13741159,13710398,9450034,3301511,272054,686799,30761,134881699,87462838
2024:Q3,Black,6966736,3000478,2401895,598584,3966257,352028,44010,51398,51398,0,36901,36641,260,313434,137399,273808,586315,1690588,329003,151372,1569997,1567430,783281,752009,15412,16727,2567,5396739,15361466
2024:Q3,Hispanic,4866273,2756025,2270458,485567,2110247,325753,28980,36402,36402,0,261,251,10,294888,50688,97836,313340,612966,265454,83680,1216806,1215825,883175,303846,10838,17966,980,3649467,12850165
2024:Q3,Other,19286468,7367153,6516292,850861,11919315,1451336,192628,606938,606938,0,129928,111743,18185,4732039,261485,288506,1377212,1420885,1274699,183660,2947626,2942503,2126482,706915,44457,64649,5123,16338842,17414625
2024:Q4,White,148583283,43136303,36938951,6197352,105446980,11846320,4113030,5118921,5118921,0,763434,714156,49278,41451417,1669683,2008476,9586884,13910734,13664585,1313495,13690752,13661660,9520667,3244386,177982,718625,29092,134892531,87371011
2024:Q4,Black,7048787,3035342,2417821,617521,4013444,359821,45007,50837,50837,0,23856,23606,250,318674,138635,275115,592778,1715652,333395,159674,1566297,1563940,792770,748409,4263,18499,2356,5482490,15555838
2024:Q4,Hispanic,4913161,2771370,2274937,496434,2141790,337777,30146,36050,36050,0,10,0,10,298638,50845,97931,315911,619467,267826,87191,1221131,1220223,891123,301759,7557,19784,909,3692029,12960275
2024:Q4,Other,19200507,7291996,6429499,862496,11908511,1466112,201733,573945,573945,0,112324,94356,17968,4745808,260419,285874,1375091,1423851,1274231,189123,2922083,2917204,2138863,694321,18531,65489,4879,16278424,17390949
