Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2015:Q2,Bottom50,5.5,13.7,11.6,23.2,2.4,4.7,1.2,1,1,0.9,0.3,0.1,2.1,0.7,8.2,1.3,5.3,1.6,1.3,19.4,33.6,33.6,26,55.4,48.7,23.7,8.9,1.1,62399852,
2015:Q3,TopPt1,10.8,4.7,3.7,9.1,13.3,10.1,9.3,19.8,19.8,19.8,19.1,19.2,18.4,23.3,7.4,0.6,2.5,0.4,26.1,2.3,0.7,0.7,0.5,0.5,5.1,3.6,4.6,12.5,124896,
2015:Q3,RemainingTop1,16.1,10.5,11.2,6.9,18.4,17.8,20,24.7,24.8,23.9,33.8,35.3,19.5,27.5,17.2,6.2,12.1,4.8,26.6,6.4,4.4,4.3,4.3,1.9,12.4,18.1,17.8,18.1,1124854,
2015:Q3,Next9,36.4,28.7,30.7,19.2,39.5,35.9,46,38.2,37.8,40.7,38.8,38.5,41.9,35.8,30.6,60.9,39,50.4,31.9,22.5,18.4,18.4,21.3,7.9,12.8,38.2,31.3,39.4,11253260,
2015:Q3,Next40,31,42.5,42.7,41.6,26.4,31.6,23.5,16.5,16.8,14.6,8,6.9,18.3,12.8,36.5,31,41.1,42.9,14.1,49.4,43.2,43.2,48.3,34.6,23.3,16.3,37.4,29,50010319,
2015:Q3,Bottom50,5.6,13.7,11.6,23.1,2.4,4.7,1.2,0.9,0.9,0.9,0.3,0.1,1.8,0.7,8.2,1.3,5.3,1.5,1.3,19.4,33.4,33.4,25.7,55.1,46.5,23.7,8.9,1.1,62525667,
2015:Q4,TopPt1,10.9,4.7,3.7,9.1,13.4,10.2,9.5,19.4,19.4,18.4,19.3,19.4,18.3,23.4,7.3,0.6,2.6,0.5,26.1,2.3,0.7,0.7,0.5,0.5,4.8,3.6,4.5,12.5,125181,
2015:Q4,RemainingTop1,16.2,10.5,11.2,6.9,18.5,18,19.6,24.7,24.8,23.4,33.4,34.8,18.9,27.6,17,5.6,12.1,4.5,27.1,6.4,4.4,4.4,4.3,2,14.9,17.9,17.2,18.1,1127078,
2015:Q4,Next9,36.4,28.6,30.6,19.2,39.6,35.8,45.9,38.3,37.9,45,39.3,38.9,43.3,35.7,30.7,61.9,39.3,50.8,31.4,22.5,18.4,18.4,21.3,7.7,12.4,38.3,31.3,39.3,11275227,
2015:Q4,Next40,30.9,42.7,42.9,41.8,26.2,31.4,23.8,16.6,16.9,12.4,7.7,6.7,18,12.6,36.8,30.7,40.7,42.7,14.1,49.4,43.5,43.5,48.6,34.6,25,16.4,37.9,28.9,50110051,
2015:Q4,Bottom50,5.6,13.6,11.5,23.1,2.3,4.7,1.2,0.9,0.9,0.8,0.2,0.1,1.5,0.7,8.3,1.3,5.2,1.5,1.3,19.4,33,33,25.3,55.2,42.9,23.8,9,1.2,62646546,
2016:Q1,TopPt1,10.9,4.7,3.7,9.4,13.4,10.2,9.3,19.2,19.3,18.1,19.9,20.1,18.1,23.4,7.2,0.6,2.7,0.5,26.1,2.3,0.7,0.7,0.5,0.4,4.7,3.6,4.5,12.5,125462,
2016:Q1,RemainingTop1,16.2,10.5,11.3,6.8,18.5,18.3,19.2,24.7,24.8,23.3,30.4,31.5,18.3,27.8,16.7,5,12.2,4.3,27.6,6.4,4.5,4.5,4.4,2,17.1,17.5,17.5,18.1,1129221,
2016:Q1,Next9,36.5,28.6,30.7,18.9,39.6,35.6,46.1,38.4,38,45.6,41.3,41,44.6,35.6,30.7,62.6,39.5,51.1,31,22.5,18.3,18.2,21.2,7.6,11.8,38.4,31.3,39.3,11296507,
2016:Q1,Next40,30.9,42.8,43,41.9,26.1,31.2,24.3,16.7,17,12.2,8.1,7.2,17.7,12.5,37.1,30.5,40.4,42.6,14.1,49.5,43.8,43.8,49,34.6,26.2,16.5,37.7,28.9,50206545,
2016:Q1,Bottom50,5.5,13.4,11.3,23,2.3,4.7,1.2,0.9,0.9,0.8,0.2,0.1,1.2,0.7,8.3,1.2,5.2,1.5,1.3,19.3,32.8,32.8,25,55.4,40.2,23.9,9,1.2,62763677,
2016:Q2,TopPt1,11,4.8,3.7,9.8,13.5,10.2,8.8,19,19.1,17.5,20.3,20.6,17.9,23.5,7.1,0.6,2.7,0.5,26.2,2.3,0.7,0.7,0.5,0.5,4.8,3.6,4.5,12.6,125741,
2016:Q2,RemainingTop1,16.3,10.6,11.4,6.6,18.7,18.6,18.6,24.7,24.8,23,28.7,29.7,17.7,27.9,16.5,4.4,12.3,4.2,27.9,6.4,4.6,4.6,4.5,2.1,19.3,16.8,17.5,18.2,1131300,
2016:Q2,Next9,36.5,28.7,30.9,18.4,39.6,35.7,46.4,38.4,38.1,47.1,42.5,42.2,46,35.5,30.8,63.6,39.8,51.3,30.6,22.5,18.2,18.1,21,7.7,11,38.4,31.3,39.4,11317306,
2016:Q2,Next40,30.8,42.8,43,42.1,25.9,30.9,25,16.9,17.1,11.5,8.2,7.4,17.4,12.3,37.3,30.2,40.1,42.6,14,49.5,44,44,49.3,34.9,27.3,17,37.7,28.7,50300626,
