Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1998:Q1,HS,7820580,2842578,2169995,672584,4978001,691090,88479,194567,132602,61966,69340,46901,22439,1024129,151589,157585,402314,1441021,674383,83503,1147956,1143772,779496,311806,5737,46733,4185,6672623,32499265
1998:Q1,NoHS,2126700,960198,733696,226501,1166503,227822,13152,66228,46071,20156,28458,16291,12166,110700,25258,28264,50813,422119,167456,26233,259876,259151,152754,98572,2580,5245,725,1866825,17023698
1998:Q2,College,22836005,5636700,4453776,1182924,17199305,1448310,563864,1207417,815875,391542,409939,381525,28414,5517521,388979,381342,1468600,3058044,2602762,152526,2633762,2623133,1886658,508962,15464,212049,10629,20202243,27082017
1998:Q2,SomeCollege,8649586,3017344,2334502,682842,5632243,613981,140682,367630,273909,93721,89830,64046,25784,1304867,138582,156334,513956,1369517,854725,82139,1556425,1552635,1055039,438764,7932,50900,3790,7093162,25642417
1998:Q2,HS,7902666,2884822,2210995,673828,5017844,688204,88101,203837,132563,71274,71606,50306,21300,1035662,152193,158773,397783,1452274,686681,82730,1161573,1157388,785134,319323,4675,48255,4185,6741094,32585029
1998:Q2,NoHS,2100795,966887,738773,228114,1133908,222098,13273,64319,42209,22111,30707,18663,12045,107374,22763,26716,50611,410414,160083,25549,261984,261337,152870,100695,2459,5313,646,1838812,16942686
1998:Q3,College,22605237,5826061,4608538,1217523,16779176,1458815,620239,1257471,875577,381893,439990,412963,27027,4909187,395543,381195,1359962,3145608,2655905,155262,2698456,2688002,1935759,525712,17470,209061,10454,19906781,27356966
1998:Q3,SomeCollege,8557653,3074247,2392947,681300,5483407,609982,149998,386253,299149,87104,94951,68787,26164,1160301,137978,154047,468514,1376521,862038,82822,1591055,1587347,1077901,449603,8470,51374,3709,6966598,25629939
1998:Q3,HS,7766364,2907378,2226518,680860,4858985,686905,90984,203718,134341,69377,69562,49407,20154,912948,151180,149891,360572,1456806,693535,82885,1171787,1167746,789724,323469,5113,49441,4041,6594577,32678256
1998:Q3,NoHS,2043373,958300,741254,217045,1085073,217144,14441,60025,37383,22641,33648,21645,12004,91113,20172,23881,49482,397776,152181,25211,262840,262294,152773,101935,2707,4879,546,1780533,16883656
1998:Q4,College,24185972,6025427,4786705,1238722,18160545,1519373,667685,1219011,871543,347468,432427,403863,28564,5882065,411894,400973,1568203,3204928,2696387,157601,2786465,2776836,1998565,546972,20555,210744,9629,21399507,27610646
1998:Q4,SomeCollege,8825918,3092773,2408783,683990,5733145,633372,156860,348087,278781,69306,97814,71177,26636,1318261,145286,162821,535238,1405165,847885,82356,1602943,1599298,1081019,454252,9123,54904,3646,7222975,25603468
1998:Q4,HS,8018392,2944934,2259783,685152,5073458,707087,94065,185249,126347,58903,72068,51627,20441,1045138,155465,159961,405523,1477754,689203,81943,1204365,1200563,809867,337021,6833,46841,3802,6814028,32780871
