Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2019:Q3,Hispanic,2542353,3563618,1456307,358653,135846,611714,365815,246859,388423,1021264,692015,306729,22520
2019:Q3,Other,9977063,11998462,3652026,464257,2480603,1203343,1003616,1184753,2009864,2021399,1427367,547337,46695
2019:Q4,White,92925870,103956676,23159657,4462393,26227282,13421060,8647757,10451438,17587089,11030806,7527083,2727233,776490
2019:Q4,Black,4750222,6091937,1607092,379306,317270,1899255,838284,243782,806948,1341715,719092,606330,16293
2019:Q4,Hispanic,2531718,3549374,1422377,358460,150475,610203,369425,239636,398798,1017656,691662,303699,22295
2019:Q4,Other,10278726,12332649,3698385,471184,2666952,1232157,1057232,1166599,2040140,2053923,1447843,554929,51151
2020:Q1,White,87448266,98512527,23685972,4492484,20117275,13431383,7688940,10617894,18478579,11064261,7552820,2698939,812502
2020:Q1,Black,4568302,5905317,1637802,378930,258762,1886999,679099,249869,813856,1337016,715220,599982,21814
2020:Q1,Hispanic,2478257,3489472,1439089,357410,118102,603651,325118,235988,410114,1011215,688103,299347,23765
2020:Q1,Other,9701548,11775868,3770925,477703,2091058,1236900,949793,1157812,2091678,2074321,1464131,549570,60620
2020:Q2,White,94254270,105311636,24278834,4490892,24429883,13537517,8585975,10741432,19247102,11057366,7596950,2669660,790756
2020:Q2,Black,4740161,6064199,1675462,371578,284304,1886568,774983,253717,817587,1324038,710910,593062,20066
2020:Q2,Hispanic,2576409,3575920,1457962,353958,147376,601256,349032,230981,435355,999511,685484,292074,21953
2020:Q2,Other,10363439,12451704,3849601,479176,2525801,1258913,1068874,1144362,2124977,2088265,1483752,542595,61918
2020:Q3,White,97976368,109211702,24906307,4612901,26673536,13620469,9023614,11116384,19258490,11235334,7702650,2700444,832240
2020:Q3,Black,4818235,6158172,1708928,390663,292371,1879835,806340,267035,813000,1339937,714378,603598,21961
2020:Q3,Hispanic,2633357,3638475,1482541,360499,164195,598331,356487,234713,441708,1005118,691095,290480,23543
2020:Q3,Other,10769208,12897836,3930419,501851,2761462,1276615,1132574,1155413,2139502,2128628,1516308,548183,64137
2020:Q4,White,104930540,116372904,25677895,4723746,31058930,13797401,9729348,11423520,19962064,11442365,7808076,2731871,902418
2020:Q4,Black,4971547,6321467,1754835,405591,315752,1883699,868390,276905,816294,1349920,707735,615676,26509
