Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1990:Q4,pct80to99,10902653,3820293,3073837,746456,7082361,1259201,199087,480218,425220,54998,162126,91786,70340,890665,190700,232527,448101,1705683,1410066,103986,1599507,1591473,1269026,254949,815,66683,8034,9303146,17911541,,
1990:Q4,pct60to80,4528588,1922398,1460051,462347,2606190,546829,52901,154603,123756,30847,34231,21177,13053,218345,81838,88933,101234,949705,321943,55628,907998,904612,635203,246838,177,22394,3385,3620590,18835506,,
1990:Q4,pct40to60,3148803,1310443,1020106,290337,1838361,482679,25334,76097,61286,14811,46266,20219,26046,137943,46643,43306,34930,639467,267800,37896,478364,476537,299615,168746,333,7844,1827,2670439,18849215,,
1990:Q4,pct20to40,1875086,891052,696659,194392,984035,324745,13985,34993,31612,3381,39023,31394,7629,57527,29301,11402,34990,301832,111953,24284,223153,221977,127696,88863,181,5237,1176,1651933,18850388,,
1990:Q4,pct00to20,771580,400637,311164,89473,370942,121176,2843,13123,10839,2284,7685,1988,5697,25570,11753,1540,5501,117320,53124,11307,83249,82751,36010,42026,74,4642,498,688331,18836165,,
1991:Q1,pct99to100,3864413,845680,588196,257484,3018734,323144,140609,447339,357526,89813,111786,94022,17763,725200,38152,15309,120979,143946,933819,18451,187212,185485,126831,20252,932,37469,1727,3677201,945646,,
1991:Q1,pct80to99,11117979,3823049,3069332,753717,7294930,1261426,223478,480774,417813,62961,165583,97929,67655,1033970,193448,234044,478153,1729994,1389634,104425,1609341,1601382,1287310,246810,1431,65830,7959,9508638,17957971,,
1991:Q1,pct60to80,4605444,1927516,1460780,466736,2677928,548808,54343,147168,116049,31119,34104,21192,12912,246525,82797,91956,114975,972585,328613,56053,906608,903253,644772,236359,307,21815,3356,3698835,18882968,,
1991:Q1,pct40to60,3180062,1312407,1016156,296251,1867655,487416,27846,70223,55377,14845,51394,23825,27569,153276,49159,42979,37635,641170,268412,38145,480881,478984,304321,165528,576,8558,1897,2699182,18897515,,
1991:Q1,pct20to40,1894891,892613,692624,199990,1002277,325749,15630,34434,30416,4018,37070,29175,7895,66193,30904,12158,32738,314687,108155,24558,224126,222910,129458,87782,349,5321,1216,1670765,18897885,,
